            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2449473.500000000, A.D. 1994-May-01 00:00:00.0000, -1.586850225145390E+08,  1.269482877210510E+08, -3.885145768764707E+08,
2449474.500000000, A.D. 1994-May-02 00:00:00.0000, -1.589477416007393E+08,  1.283656503204228E+08, -3.884316973277577E+08,
2449475.500000000, A.D. 1994-May-03 00:00:00.0000, -1.592407548841015E+08,  1.297540997041244E+08, -3.883452485897192E+08,
2449476.500000000, A.D. 1994-May-04 00:00:00.0000, -1.595635882490747E+08,  1.311130645698343E+08, -3.882552116780281E+08,
2449477.500000000, A.D. 1994-May-05 00:00:00.0000, -1.599157486088795E+08,  1.324419785654168E+08, -3.881615664335678E+08,
2449478.500000000, A.D. 1994-May-06 00:00:00.0000, -1.602967246834605E+08,  1.337402825297562E+08, -3.880642916816283E+08,
2449479.500000000, A.D. 1994-May-07 00:00:00.0000, -1.607059878260077E+08,  1.350074261760005E+08, -3.879633653649587E+08,
2449480.500000000, A.D. 1994-May-08 00:00:00.0000, -1.611429927615716E+08,  1.362428694537296E+08, -3.878587646533124E+08,
2449481.500000000, A.D. 1994-May-09 00:00:00.0000, -1.616071782319386E+08,  1.374460837815946E+08, -3.877504660393308E+08,
2449482.500000000, A.D. 1994-May-10 00:00:00.0000, -1.620979676128816E+08,  1.386165532708295E+08, -3.876384454323317E+08,
2449483.500000000, A.D. 1994-May-11 00:00:00.0000, -1.626147695931574E+08,  1.397537759876401E+08, -3.875226782591751E+08,
2449484.500000000, A.D. 1994-May-12 00:00:00.0000, -1.631569789950808E+08,  1.408572652451437E+08, -3.874031395776447E+08,
2449485.500000000, A.D. 1994-May-13 00:00:00.0000, -1.637239777861547E+08,  1.419265508817463E+08, -3.872798042036388E+08,
2449486.500000000, A.D. 1994-May-14 00:00:00.0000, -1.643151362974699E+08,  1.429611804763960E+08, -3.871526468505736E+08,
2449487.500000000, A.D. 1994-May-15 00:00:00.0000, -1.649298146436855E+08,  1.439607204671909E+08, -3.870216422787120E+08,
2449488.500000000, A.D. 1994-May-16 00:00:00.0000, -1.655673643442785E+08,  1.449247571643883E+08, -3.868867654538261E+08,
2449489.500000000, A.D. 1994-May-17 00:00:00.0000, -1.662271301800216E+08,  1.458528976606443E+08, -3.867479917178081E+08,
2449490.500000000, A.D. 1994-May-18 00:00:00.0000, -1.669084523722832E+08,  1.467447706163737E+08, -3.866052969765143E+08,
2449491.500000000, A.D. 1994-May-19 00:00:00.0000, -1.676106692194443E+08,  1.476000268164776E+08, -3.864586579091479E+08,
2449492.500000000, A.D. 1994-May-20 00:00:00.0000, -1.683331203181868E+08,  1.484183392511080E+08, -3.863080521951244E+08,
2449493.500000000, A.D. 1994-May-21 00:00:00.0000, -1.690751503760951E+08,  1.491994022960994E+08, -3.861534587356787E+08,
2449494.500000000, A.D. 1994-May-22 00:00:00.0000, -1.698361133321004E+08,  1.499429294477444E+08, -3.859948578191268E+08,
2449495.500000000, A.D. 1994-May-23 00:00:00.0000, -1.706153760615449E+08,  1.506486491594425E+08, -3.858322311509706E+08,
2449496.500000000, A.D. 1994-May-24 00:00:00.0000, -1.714123205315756E+08,  1.513162987933215E+08, -3.856655616647922E+08,
2449497.500000000, A.D. 1994-May-25 00:00:00.0000, -1.722263432365326E+08,  1.519456175157461E+08, -3.854948330719054E+08,
2449498.500000000, A.D. 1994-May-26 00:00:00.0000, -1.730568513769474E+08,  1.525363397554865E+08, -3.853200291984030E+08,
2449499.500000000, A.D. 1994-May-27 00:00:00.0000, -1.739032564144045E+08,  1.530881910097045E+08, -3.851411332547565E+08,
2449500.500000000, A.D. 1994-May-28 00:00:00.0000, -1.747649666730443E+08,  1.536008870300316E+08, -3.849581272195385E+08,
2449501.500000000, A.D. 1994-May-29 00:00:00.0000, -1.756413808770351E+08,  1.540741361533060E+08, -3.847709914657510E+08,
2449502.500000000, A.D. 1994-May-30 00:00:00.0000, -1.765318838407244E+08,  1.545076435571660E+08, -3.845797046539846E+08,
2449503.500000000, A.D. 1994-May-31 00:00:00.0000, -1.774358445206761E+08,  1.549011159975617E+08, -3.843842438290696E+08,
2449504.500000000, A.D. 1994-Jun-01 00:00:00.0000, -1.783526159019397E+08,  1.552542659877329E+08, -3.841845846237625E+08,
2449505.500000000, A.D. 1994-Jun-02 00:00:00.0000, -1.792815359412647E+08,  1.555668149730951E+08, -3.839807014869213E+08,
2449506.500000000, A.D. 1994-Jun-03 00:00:00.0000, -1.802219288978144E+08,  1.558384955177705E+08, -3.837725678869320E+08,
2449507.500000000, A.D. 1994-Jun-04 00:00:00.0000, -1.811731066266932E+08,  1.560690527531167E+08, -3.835601564722978E+08,
2449508.500000000, A.D. 1994-Jun-05 00:00:00.0000, -1.821343696446143E+08,  1.562582453966683E+08, -3.833434391919634E+08,
2449509.500000000, A.D. 1994-Jun-06 00:00:00.0000, -1.831050079465317E+08,  1.564058466121206E+08, -3.831223873885369E+08,
2449510.500000000, A.D. 1994-Jun-07 00:00:00.0000, -1.840843016567035E+08,  1.565116449047433E+08, -3.828969718812010E+08,
2449511.500000000, A.D. 1994-Jun-08 00:00:00.0000, -1.850715216524096E+08,  1.565754451605412E+08, -3.826671630544018E+08,
2449512.500000000, A.D. 1994-Jun-09 00:00:00.0000, -1.860659303152228E+08,  1.565970698524079E+08, -3.824329309650976E+08,
2449513.500000000, A.D. 1994-Jun-10 00:00:00.0000, -1.870667825498396E+08,  1.565763603616400E+08, -3.821942454759048E+08,
2449514.500000000, A.D. 1994-Jun-11 00:00:00.0000, -1.880733271687279E+08,  1.565131783045173E+08, -3.819510764153531E+08,
2449515.500000000, A.D. 1994-Jun-12 00:00:00.0000, -1.890848086827833E+08,  1.564074067235960E+08, -3.817033937603823E+08,
2449516.500000000, A.D. 1994-Jun-13 00:00:00.0000, -1.901004694800675E+08,  1.562589510037634E+08, -3.814511678319647E+08,
2449517.500000000, A.D. 1994-Jun-14 00:00:00.0000, -1.911195523347383E+08,  1.560677393966426E+08, -3.811943694930708E+08,
2449518.500000000, A.D. 1994-Jun-15 00:00:00.0000, -1.921413031757347E+08,  1.558337230626739E+08, -3.809329703387030E+08,
2449519.500000000, A.D. 1994-Jun-16 00:00:00.0000, -1.931649740504385E+08,  1.555568755430562E+08, -3.806669428683307E+08,
2449520.500000000, A.D. 1994-Jun-17 00:00:00.0000, -1.941898262121393E+08,  1.552371915396024E+08, -3.803962606287957E+08,
2449521.500000000, A.D. 1994-Jun-18 00:00:00.0000, -1.952151331993960E+08,  1.548746848234315E+08, -3.801208983082607E+08,
2449522.500000000, A.D. 1994-Jun-19 00:00:00.0000, -1.962401836287686E+08,  1.544693850669142E+08, -3.798408317496916E+08,
2449523.500000000, A.D. 1994-Jun-20 00:00:00.0000, -1.972642832056845E+08,  1.540213334848132E+08, -3.795560378416132E+08,
2449524.500000000, A.D. 1994-Jun-21 00:00:00.0000, -1.982867552716832E+08,  1.535305774597728E+08, -3.792664942461656E+08,
2449525.500000000, A.D. 1994-Jun-22 00:00:00.0000, -1.993069392322605E+08,  1.529971647984692E+08, -3.789721789522494E+08,
2449526.500000000, A.D. 1994-Jun-23 00:00:00.0000, -2.003241866102981E+08,  1.524211387241121E+08, -3.786730696960145E+08,
2449527.500000000, A.D. 1994-Jun-24 00:00:00.0000, -2.013378552028572E+08,  1.518025348291969E+08, -3.783691433509145E+08,
2449528.500000000, A.D. 1994-Jun-25 00:00:00.0000, -2.023473025403349E+08,  1.511413807665526E+08, -3.780603754177226E+08,
2449529.500000000, A.D. 1994-Jun-26 00:00:00.0000, -2.033518801066250E+08,  1.504376985937539E+08, -3.777467397164657E+08,
2449530.500000000, A.D. 1994-Jun-27 00:00:00.0000, -2.043509294013363E+08,  1.496915088803413E+08, -3.774282083104141E+08,
2449531.500000000, A.D. 1994-Jun-28 00:00:00.0000, -2.053437801704610E+08,  1.489028353621418E+08, -3.771047516192613E+08,
2449532.500000000, A.D. 1994-Jun-29 00:00:00.0000, -2.063297504488071E+08,  1.480717091362365E+08, -3.767763386401486E+08,
2449533.500000000, A.D. 1994-Jun-30 00:00:00.0000, -2.073081477251986E+08,  1.471981718729454E+08, -3.764429371976134E+08,
2449534.500000000, A.D. 1994-Jul-01 00:00:00.0000, -2.082782705530725E+08,  1.462822779773864E+08, -3.761045141686894E+08,
